Node	Occurrences	Present in network(s)	Cited in paper(s)
H6N5F2	15	[19;P01011, 607;P02786, 1406;P17301, 1442;P07942, 1087;Q5ZPR3, 79;P13987, 1512;P55083, 650;P78324, 1868;Q9Y274, 1441;O15230, 1747;Q5TFQ8, 653;P98160, 613;P07911, 1479;Q14108, 1408;P23229]	[10.1021/acs.jproteome.9b00753, 10.1016/s0021-9258(19)50338-6, 10.1093/glycob/10.9.901, 10.1023/a:1019640312730, 10.1021/bi00210a019, 10.1021/acs.analchem.8b01137, 10.1093/oxfordjournals.jbchem.a133671, 10.1126/science.abb9983, 10.1042/ba19990105, 10.1093/glycob/10.5.511, 10.1016/0009-8981(90)90201-3, 10.18632/oncotarget.26005, 10.1021/acs.analchem.1c00893, 10.1021/pr5005482]
H7N6F1S3	6	[50;P26324, 1442;P07942, 1645;P07602, 2988;P08637, 2990;P08637, 137;P00533]	[10.1074/mcp.M112.024018, 10.1111/j.1432-1033.1996.0076n.x, 10.1021/pr500506z, 10.1038/s41598-018-20331-2, 10.1093/glycob/7.1.67, 10.1038/nprot.2012.062, 10.1074/mcp.RA120.002295, 10.1021/acs.analchem.8b01051, 10.1023/a:1006915200989, 10.1093/glycob/9.9.915, 10.1021/bi961075b, 10.1016/j.isci.2021.102323, 10.1021/acs.analchem.0c01794, 10.1002/pmic.201300270, 10.1016/0003-2697(92)90367-g, 10.1093/glycob/cwaa042, 10.1111/j.1432-1033.1993.tb17732.x, 10.1021/acs.jproteome.9b00753, 10.1084/jem.20142182, 10.1093/glycob/cwaa101, 10.1093/glycob/10.3.251, 10.1016/0003-9861(91)90107-t, 10.1021/bi035278t, 10.1021/acs.analchem.8b01137, 10.1111/j.1432-1033.1995.tb20350.x, 10.1093/glycob/4.2.227, 10.1016/j.jprot.2014.02.005, 10.1126/science.abb9983, 10.1093/oxfordjournals.jbchem.a022738, 10.18632/oncotarget.26005, 10.1002/elps.1150191113, 10.1016/j.chom.2020.08.004, 10.1038/s41598-021-84668-x, 10.1021/pr500394z, 10.1111/j.1470-8744.1996.tb00399.x, 10.1006/abio.1994.1374]
H5N5S1	33	[21;P02760, 1406;P17301, 85;P00450, 1087;Q5ZPR3, 57;P04114, 1919;Q8NI99, 2051;P48551, 2933;Q13410, 821;Q92823, 663;P05154, 635;P20239, 703;P01019, 1910;O15204, 695;P05546, 1281;Q8NBJ4, 1145;P06681, 1937;P52799, 788;P08185, 1781;Q4LDE5, 428;P05164, 1958;O43451, 635;Q62005, 679;O75882, 1248;P15328, 795;Q6YHK3, 1914;Q8IZF2, 1925;P04040, 668;Q13201, 815;P15144, 1723;Q86VB7, 1261;P19440, 1847;Q14956, 767;P20774]	[10.1006/abio.1995.1200, 10.1016/j.jchromb.2008.05.006, 10.1111/j.1432-1033.1992.tb17090.x, 10.1021/ac4006556, 10.1016/S0021-9258(17)44262-1, 10.1038/s41598-018-20331-2, 10.1074/mcp.RA120.002295, 10.1021/acs.analchem.8b01051, 10.1074/mcp.M114.039537, 10.1021/acs.jproteome.8b00796, 10.1093/glycob/cwaa042, 10.1021/acs.jproteome.9b00753, 10.1021/acs.jproteome.5b00756, 10.1093/glycob/cwaa101, 10.1101/853036, 10.1074/mcp.O114.046748, 10.1021/pr500238v, 10.1021/acs.analchem.8b01137, 10.1016/j.jprot.2014.02.005, 10.1111/jth.14861, 10.1126/science.abb9983, 10.1074/jbc.M504528200, 10.1021/pr500575r, 10.1074/mcp.RA119.001607, 10.1016/j.euprot.2014.11.002, 10.1093/glycob/4.5.617, 10.1038/s41592-021-01309-x, 10.18632/oncotarget.26005, 10.4049/jimmunol.173.11.6831, 10.1038/s41598-021-84668-x, 10.1016/j.carres.2014.01.018]
H7N6F1S1	5	[1441;O15230, 161;P02751, 1956;P22897, 732;Q8WXD2, 1636;P12273]	[10.1093/glycob/cwaa042, 10.1021/acs.jproteome.9b00753, 10.1084/jem.20142182, 10.1093/glycob/cwaa101, 10.1093/glycob/10.3.251, 10.1016/j.jaci.2014.02.025, 10.1021/bi035278t, 10.1038/s41598-018-20331-2, 10.1021/acs.analchem.8b01137, 10.1093/glycob/7.1.67, 10.1126/science.abb9983, 10.1021/pr400714w, 10.1074/mcp.RA119.001607, 10.1021/pr500575r, 10.1074/mcp.RA120.002295, 10.7150/thno.65398, 10.1021/acs.analchem.8b01051, 10.18632/oncotarget.26005, 10.1021/acs.analchem.1c00893, 10.1021/pr500394z, 10.1021/acs.analchem.0c01794, 10.1021/acs.jproteome.8b00796]
H5N5S2	82	[803;P54802, 1488;P48740, 1122;P05160, 1601;P80108, 96;P00740, 1895;P54289, 1425;Q9NPH3, 1612;O43157, 1911;Q86TH1, 1955;P07333, 1154;Q02985, 1610;P16284, 1942;P14651, 1920;P07307, 726;P27169, 780;P04217, 1232;Q8IWU5, 1043;P43251, 518;P00734, 750;P05543, 688;P01859, 1081;P07711, 1287;Q86SQ4, 1429;P29622, 1968;P40197, 754;P01127, 1954;P48357, 1052;P20851, 1152;Q03591, 1524;Q9H8L6, 1981;O75509, 1965;Q99650, 2043;O94925, 1921;P55290, 285;P19823, 1983;P30530, 699;Q96IY4, 1503;Q13421, 1962;Q99784, 219;P14210, 1918;Q9BY76, 1970;P23470, 1309;Q04756, 2961;P0DOX2, 165;P01225, 176;P07359, 1985;P18428, 1931;Q9P232, 742;P05156, 1928;Q92496, 1172;Q14126, 1913;Q6QNK2, 627;P04275, 1984;P19320, 1216;Q9Y2E5, 1051;P04003, 653;P98160, 695;P05546, 329;Q14766, 1085;Q13740, 2520;Q61885, 1793;Q9UQP3, 1964;Q8WWZ8, 502;P00747, 1407;P08648, 1035;Q96KN2, 140;P01588, 1617;O00592, 1948;Q01638, 1600;Q92626, 284;P19827, 1079;P07339, 283;P05556, 527;P02752, 1982;Q06418, 8;P23795, 1729;P49908, 1044;Q10589, 1451;Q8TF66, 682;P13598, 283;P08648, 818;P03951]	[10.1021/acs.jproteome.9b00753, 10.1111/j.1432-1033.1992.tb17090.x, 10.1111/j.1432-1033.1991.tb15702.x, 10.1093/glycob/cwaa101, 10.1101/853036, 10.1021/pr500238v, 10.1021/acs.analchem.8b01137, 10.1038/s41598-018-20331-2, 10.1681/ASN.2006040388, 10.1016/j.euprot.2014.11.002, 10.1021/pr500575r, 10.1074/mcp.RA120.002295, 10.1016/0304-4165(94)00191-y, 10.1038/s41592-021-01309-x, 10.18632/oncotarget.26005, 10.1371/journal.pgen.1003225, 10.4049/jimmunol.173.11.6831, 10.1111/j.1432-1033.1990.tb15281.x, 10.1074/mcp.M114.039537, 10.1016/j.carres.2014.01.018]
H7N6F1S2	15	[99;P00451, 1961;Q8IVL1, 1524;Q9H8L6, 1965;Q99650, 230;P01876, 1242;Q06828, 1708;P10586, 1281;Q8NBJ4, 1921;P55290, 1641;Q12884, 1951;P35527, 550;P01833, 2932;P47710, 682;P13598, 1934;Q93070]	[10.1016/j.jaci.2014.02.025, 10.1038/s41598-018-20331-2, 10.1093/glycob/7.1.67, 10.1038/nprot.2012.062, 10.1074/mcp.RA120.002295, 10.7150/thno.65398, 10.1021/acs.analchem.8b01051, 10.1111/j.1432-1033.1990.tb15281.x, 10.1021/bi961075b, 10.1016/j.isci.2021.102323, 10.1021/acs.analchem.0c01794, 10.1093/glycob/cwaa042, 10.1111/j.1432-1033.1993.tb17732.x, 10.1021/acs.jproteome.9b00753, 10.1084/jem.20142182, 10.1093/glycob/cwaa101, 10.1093/glycob/10.3.251, 10.1021/bi035278t, 10.1021/acs.analchem.8b01137, 10.1016/j.jprot.2014.02.005, 10.1111/j.1432-1033.1995.tb20350.x, 10.1126/science.abb9983, 10.1021/pr400714w, 10.1074/mcp.RA119.001607, 10.1021/pr500575r, 10.1093/abbs/gmt110, 10.1093/oxfordjournals.jbchem.a124143, 10.18632/oncotarget.26005, 10.1002/elps.1150191113, 10.1016/j.chom.2020.08.004, 10.1038/s41598-021-84668-x, 10.1021/pr500394z, 10.1006/abio.1994.1374]
H7N7F1	16	[586;P06729, 360;P35495, 676;P02750, 744;P00738, 732;Q8WXD2, 1073;P43155, 602;P10646, 1414;P05556, 544;P98119, 1441;O15230, 346;P14151, 1470;P51884, 371;P10252, 361;P35496, 110;P01024, 11;P09923]	[10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1084/jem.20142182, 10.1074/mcp.RA120.002295, 10.1093/glycob/2.4.299, 10.1093/glycob/10.5.511, 10.18632/oncotarget.26005, 10.1016/j.jaci.2014.02.025, 10.1016/s0021-9258(19)38919-7, 10.1093/glycob/cwaa052, 10.1021/acs.analchem.1c00893, 10.1021/acs.analchem.8b01137]
H7N7F2	1	[2839;P0DTC2]	[10.1093/glycob/10.5.511]
H3N4G1	2	[79;P13987, 790;P07288]	[10.18632/oncotarget.26005]
H11N10F1	1	[140;P01588]	[10.1046/j.1432-1327.2001.01960.x, 10.1016/0003-9861(90)90511-v, 10.1021/acs.analchem.8b01137]
H3N4F2P1	1	[317;Q38757]	[10.1111/j.1432-1033.1991.tb16106.x]
H6N6F4S2	1	[1444;P11047]	[10.1038/s41598-021-84668-x, 10.1038/s41598-018-20331-2]
H7N5S1	9	[19;P01011, 680;P08581, 1723;Q86VB7, 984;P08195, 713;P00736, 1709;Q15262, 679;O75882, 734;Q9Y5Y7, 1980;Q5T2D2]	[10.1111/j.1432-1033.1990.tb15281.x]
H7N5S2	16	[140;P01588, 711;Q14624, 284;P19827, 663;P05154, 137;P00533, 315;P03395, 1915;Q9HBW9, 1235;P35555, 1983;P30530, 699;Q96IY4, 502;P00747, 219;P14210, 1429;P29622, 1968;P40197, 1068;P22792, 320;P02788]	[10.1620/tjem.166.407]
H7N3p1	1	[140;P01588]	[10.1093/glycob/10.3.251, 10.1038/s41598-021-84668-x]
H5N4F1G1	4	[810;P01042, 79;P13987, 613;P07911, 23;P02765]	[10.1042/bj3380529, 10.1111/j.1432-1033.1993.tb18434.x, 10.1111/j.1432-1033.1988.tb13966.x, 10.1074/mcp.M110.000430, 10.1016/s0021-9258(20)64312-5, 10.18632/oncotarget.26005, 10.1016/j.carres.2014.01.018, 10.1074/jbc.275.11.7731]
H7N5S3	10	[726;P27169, 810;P01042, 85;P00450, 79;P13987, 676;P02750, 518;P00734, 96;P00740, 1958;O43451, 1524;Q9H8L6, 679;O75882]	[10.1620/tjem.166.407, 10.1007/bf01799942]
N2	4	[2570;G5E8G3, 2615;Q61207, 2349;P35438, 2611;Q91ZX7]	[10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1021/bi00464a020, 10.1016/s0008-6215(00)80777-6]
H6N4S1	46	[1406;P17301, 85;P00450, 1087;Q5ZPR3, 57;P04114, 2051;P48551, 2933;Q13410, 821;Q92823, 663;P05154, 1928;Q92496, 635;P20239, 784;Q96PD5, 1984;P19320, 1942;P14651, 1051;P04003, 1437;Q08431, 703;P01019, 1910;O15204, 695;P05546, 1429;P29622, 1929;P17927, 1937;P52799, 1153;P36980, 1854;Q8NBN3, 788;P08185, 1781;Q4LDE5, 428;P05164, 1052;P20851, 1958;O43451, 635;Q62005, 679;O75882, 1248;P15328, 795;Q6YHK3, 1914;Q8IZF2, 1925;P04040, 668;Q13201, 562;P04278, 815;P15144, 285;P19823, 731;P43652, 1723;Q86VB7, 1944;Q8TDY8, 986;Q13510, 1261;P19440, 714;P03952, 1847;Q14956, 767;P20774]	[10.1038/s41467-019-09222-w, 10.1021/acs.jproteome.9b00753, 10.1074/mcp.M112.024018, 10.1111/j.1432-1033.1982.tb06694.x, 10.1021/pr500238v, 10.1038/s41598-018-20331-2, 10.1021/acs.analchem.8b01137, 10.1620/tjem.166.407, 10.1126/science.abb9983, 10.1074/mcp.RA119.001607, 10.1021/pr500575r, 10.1074/mcp.RA120.002295, 10.18632/oncotarget.26005, 10.1111/j.1432-1033.1990.tb15281.x]
H6N4S2	81	[803;P54802, 1488;P48740, 1122;P05160, 1601;P80108, 96;P00740, 1895;P54289, 1425;Q9NPH3, 1612;O43157, 1911;Q86TH1, 1955;P07333, 1154;Q02985, 1610;P16284, 1942;P14651, 1920;P07307, 1029;Q16620, 726;P27169, 780;P04217, 1232;Q8IWU5, 1043;P43251, 518;P00734, 750;P05543, 688;P01859, 1081;P07711, 1287;Q86SQ4, 1429;P29622, 1968;P40197, 1386;Q9Y6R7, 754;P01127, 1954;P48357, 1052;P20851, 1152;Q03591, 1524;Q9H8L6, 1981;O75509, 1965;Q99650, 1921;P55290, 285;P19823, 1983;P30530, 699;Q96IY4, 1503;Q13421, 1962;Q99784, 219;P14210, 1918;Q9BY76, 1970;P23470, 1309;Q04756, 2961;P0DOX2, 165;P01225, 176;P07359, 1985;P18428, 1931;Q9P232, 742;P05156, 1928;Q92496, 1172;Q14126, 1913;Q6QNK2, 627;P04275, 1984;P19320, 1216;Q9Y2E5, 1051;P04003, 653;P98160, 695;P05546, 329;Q14766, 1085;Q13740, 1793;Q9UQP3, 1964;Q8WWZ8, 502;P00747, 1407;P08648, 1035;Q96KN2, 140;P01588, 1948;Q01638, 1600;Q92626, 284;P19827, 1079;P07339, 283;P05556, 527;P02752, 1982;Q06418, 8;P23795, 1729;P49908, 1044;Q10589, 1451;Q8TF66, 682;P13598, 283;P08648, 818;P03951]	[10.1620/tjem.166.407, 10.1021/pr500575r, 10.1074/mcp.M112.024018, 10.7150/thno.65398, 10.1007/bf01799942, 10.1021/pr500238v, 10.1073/pnas.1309417110, 10.1038/s41598-018-20331-2]
N1F1	1	[2611;Q91ZX7]	[10.1021/acs.jproteome.9b00753, 10.1074/mcp.RA120.002295, 10.1006/abio.1994.1138]
H3N5F1S1	5	[558;P02787, 1839;P43307, 1636;P12273, 1172;Q14126, 1066;O75976]	[10.1038/s41467-019-09222-w, 10.1126/science.abb9983, 10.1016/j.talanta.2020.121495, 10.1021/acs.jproteome.9b00753, 10.1021/pr500575r, 10.1074/mcp.RA120.002295, 10.1074/jbc.270.41.24116, 10.1046/j.1432-1327.1999.00766.x, 10.18632/oncotarget.26005, 10.1016/j.jprot.2021.104148]
H6N4S3	3	[1781;Q4LDE5, 984;P08195, 604;P01048]	[10.1620/tjem.166.407, 10.1007/bf01799942]
H8N7F1S2	3	[685;P41222, 2986;P08637, 2990;P08637]	[10.1093/glycob/7.1.67, 10.1111/j.1432-1033.1993.tb17732.x, 10.1021/acs.jproteome.9b00753, 10.18632/oncotarget.26005, 10.1038/s41598-021-84668-x, 10.1021/acs.analchem.0c01794]
H4N3	12	[1437;Q08431, 3000;P08637, 2999;P31994-3, 666;P07288, 2784;Q99KF1, 723;P10253, 2998;P12318-1, 3001;O75015, 2134;P50429, 774;P08571, 2231;Q9CPW0, 725;O60486]	[10.1016/s0021-9258(19)50338-6, 10.1111/j.1432-1033.1992.tb16776.x, 10.1021/bi00464a020, 10.1023/B:GLYC.0000038293.37376.9f, 10.1006/abbi.1994.1055, 10.1093/glycob/cwaa052, 10.1093/glycob/10.8.837, 10.1074/mcp.RA120.002295, 10.1016/s0021-9258(18)50382-3, 10.1021/acs.analchem.8b01051, 10.1016/s0021-9258(18)32836-9, 10.1006/abio.2001.5199, 10.1016/0003-9861(91)90144-8, 10.1038/s41467-019-09222-w, 10.1093/glycob/3.4.365, 10.1073/pnas.96.8.4692, 10.1021/pr500238v, 10.1074/jbc.M606711200, 10.1093/glycob/5.3.281, 10.1016/j.euprot.2014.11.002, 10.1074/mcp.RA119.001607, 10.1021/ac900231w, 10.1021/bi00378a023, 10.1002/pro.5560030105, 10.1016/s0021-9258(17)43832-4, 10.1093/glycob/4.5.633, 10.1074/mcp.M112.024018, 10.1021/ac4006556, 10.1016/S1044-0305(00)00122-7, 10.1093/glycob/7.5.635, 10.1007/s10719-006-6693-4, 10.1093/glycob/1.1.45, 10.1093/glycob/6.6.611, 10.1093/glycob/7.1.67, 10.1042/bj2680529, 10.1042/bj1070341, 10.1111/j.1432-1033.1990.tb19256.x, 10.1021/acs.jproteome.9b00753, 10.1021/pr400196s, 10.1111/j.1432-1033.1993.tb18020.x, 10.1007/BF02778058, 10.1074/mcp.O114.046748, 10.1101/853036, 10.1006/abbi.2001.2421, 10.1111/jth.14861, 10.1021/acs.analchem.8b01137, 10.1016/s0008-6215(99)00254-2, 10.1126/science.abb9983, 10.1016/j.talanta.2020.121495, 10.1016/s0166-6851(00)00310-8, 10.1021/bi9918285, 10.1271/bbb.64.2109, 10.4049/jimmunol.173.11.6831, 10.1111/j.1432-1033.1991.tb16045.x, 10.1016/0014-5793(94)00547-8]
H4N2	83	[161;P02751, 803;P54802, 588;P05540, 2492;P16675, 60;Q7Z1F8, 1861;Q15661, 533;Q40379, 1215;P61916, 1041;O00462, 1592;P50897, 2455;P19137, 1070;P13688, 738;P26006, 1292;Q8NCC3, 688;P01859, 1081;P07711, 796;P15586, 1176;Q9UHL4, 2340;O35409, 1604;Q8IV08, 320;P02788, 71;P56817, 1082;Q9UBR2, 658;P50454, 1653;O75629, 27;P02873, 647;P01877, 679;O75882, 319;P24627, 558;P02787, 1497;P43356, 668;Q13201, 1368;P01903, 2201;Q8VEK0, 1449;Q99538, 550;P01833, 1262;P13284, 1862;P20231, 1527;O95297, 1599;Q15063, 1257;Q92820, 710;O60637, 1719;O00584, 355;P11279, 775;O00754, 1175;P53634, 1256;Q08380, 1072;P31997, 230;P01876, 1783;Q16563, 2392;Q60751, 1531;P34059, 677;P05090, 1792;P24821, 371;P10252, 625;P04004, 209;P03459, 2685;P70336, 1208;P11678, 1858;O14773, 1519;Q02817, 2124;O88325, 292;P01575, 1630;Q9H3G5, 1477;P10619, 428;P05164, 513;P00797, 1079;P07339, 1173;Q01459, 681;Q9NY15, 1383;Q9Y4L1, 594;P07996, 815;P15144, 600;P01266, 1530;P20933, 986;Q13510, 1005;P06280, 45;P17050, 771;P17948, 2161;Q61361, 1603;Q6P4A8, 1847;Q14956, 2135;Q3TYD4]	[10.1007/bf00731872, 10.1271/bbb1961.54.3259, 10.1093/glycob/cwaa052, 10.1111/j.1432-1033.1993.tb17870.x, 10.1093/glycob/10.9.941, 10.1006/abio.2000.4737, 10.1074/mcp.RA120.002295, 10.1074/jbc.M100573200, 10.1021/acs.analchem.8b01051, 10.1515/bchm3.1995.376.9.531, 10.1006/abio.2001.5199, 10.1038/s41467-019-09222-w, 10.1074/jbc.M606711200, 10.1006/abio.1994.1138, 10.1093/glycob/5.2.227, 10.1016/j.euprot.2014.11.002, 10.1007/s13361-013-0823-6, 10.1021/pr400714w, 10.1093/glycob/11.4.261, 10.1016/j.jprot.2014.03.040, 10.1038/s41592-021-01309-x, 10.18632/oncotarget.26005, 10.1046/j.1432-1033.2002.03244.x, 10.2210/pdb1gly/pdb, 10.1002/pro.5560030105, 10.1016/s0021-9258(19)38336-x, 10.1074/mcp.M112.024018, 10.1021/bi00239a013, 10.1046/j.1432-1327.1999.00859.x, 10.1016/S1044-0305(00)00122-7, 10.1007/s10719-006-6693-4, 10.1111/j.1432-1033.1996.t01-1-00579.x, 10.1271/bbb.56.215, 10.1111/j.1432-1033.1993.tb17901.x, 10.7150/thno.65398, 10.1016/s0008-6215(00)80777-6, 10.1021/acs.jproteome.0c00702, 10.1016/j.jprot.2021.104148, 10.1093/glycob/5.6.589, 10.1093/glycob/10.6.551, 10.1021/acs.jproteome.9b00753, 10.1111/j.1432-1033.1993.tb18020.x, 10.1074/mcp.O114.046748, 10.1016/s0021-9258(19)46950-0, 10.1271/bbb.60.1123, 10.1093/oxfordjournals.jbchem.a121947, 10.1016/s0008-6215(99)00254-2, 10.1093/oxfordjournals.jbchem.a022526, 10.1016/j.talanta.2020.121495, 10.1126/science.abb9983, 10.1021/pr500575r, 10.1016/s0166-6851(00)00310-8, 10.1093/glycob/8.7.663, 10.1006/abbi.1994.1021, 10.1271/bbb.64.2109, 10.1007/bf00731639, 10.4049/jimmunol.173.11.6831, 10.1111/j.1432-1033.1991.tb16045.x]
H4N5	3	[57;P04114, 677;P05090, 1079;P07339]	[10.1016/j.jchromb.2008.05.006, 10.1016/s0021-9258(19)50338-6, 10.1006/abbi.1995.1255, 10.1074/mcp.RA120.002295, 10.1021/acs.analchem.8b01051, 10.1006/abio.2001.5199, 10.1021/pr500414q, 10.1016/0003-9861(90)90511-v, 10.1038/s41467-019-09222-w, 10.1093/glycob/cwaa042, 10.1021/acs.jproteome.5b00756, 10.1093/glycob/9.5.443, 10.3390/pharmaceutics13111747, 10.1093/glycob/cwaa101, 10.1021/pr500238v, 10.1093/glycob/10.3.295, 10.1016/j.jprot.2014.02.005, 10.1074/mcp.RA119.001607, 10.1016/j.euprot.2014.11.002, 10.1074/jbc.M504528200, 10.1021/ac900231w, 10.1038/s41592-021-01309-x, 10.18632/oncotarget.26005, 10.1016/j.chom.2020.08.004, 10.1021/bi00067a029, 10.1038/s41598-021-84668-x, 10.1021/bi00378a023, 10.1021/pr500394z, 10.1016/j.carres.2014.01.018, 10.1021/ac4009995, 10.1111/j.1432-1033.1992.tb17090.x, 10.1021/ac4006556, 10.1074/mcp.M114.047381, 10.1016/S1044-0305(00)00122-7, 10.1021/bi00341a040, 10.1016/S0021-9258(17)44262-1, 10.1042/bj3160427, 10.1093/oxfordjournals.jbchem.a124273, 10.1016/s0021-9258(18)52290-0, 10.1042/bj2680529, 10.1093/glycob/cwh031, 10.1007/bf00702201, 10.1016/S0021-9258(18)54122-3, 10.1021/acs.jproteome.0c00702, 10.1021/acs.jproteome.9b00753, 10.1111/j.1432-1033.1993.tb18020.x, 10.1101/853036, 10.1021/acs.analchem.8b01137, 10.1681/ASN.2006040388, 10.1016/j.talanta.2020.121495, 10.1126/science.abb9983, 10.1021/pr500575r, 10.1021/pr900956x, 10.4049/jimmunol.173.11.6831]
H4N4	16	[610;P29965, 79;P13987, 91;P0DN86, 46;Q9TRC7, 2557;P97300, 590;Q8BYI9, 544;P98119, 2255;Q9Z218, 1383;Q9Y4L1, 2096;Q64676, 2769;P01831, 329;Q14766, 371;P10252, 88;P01215, 1120;P12259, 11;P09923]	[10.1016/j.jchromb.2008.05.006, 10.1016/s0021-9258(19)50338-6, 10.1006/abbi.1995.1255, 10.1021/bi00464a020, 10.1093/glycob/11.10.791, 10.1111/j.1432-1033.1993.tb18200.x, 10.1021/acs.analchem.8b01051, 10.1093/glycob/10.4.421, 10.1271/bbb.80598, 10.1016/0161-5890(93)90145-2, 10.1006/abio.2001.5199, 10.1016/0003-9861(91)90144-8, 10.1093/glycob/cwaa042, 10.1038/s41467-019-09222-w, 10.1093/glycob/cwaa101, 10.1093/glycob/9.5.443, 10.1021/pr500238v, 10.1074/jbc.M606711200, 10.1046/j.1432-1327.2001.01985.x, 10.1093/glycob/10.3.295, 10.1016/j.jprot.2014.02.005, 10.1006/bbrc.2001.5382, 10.1093/glycob/5.3.281, 10.1074/mcp.RA119.001607, 10.1074/jbc.M504528200, 10.1016/j.euprot.2014.11.002, 10.1021/ac900231w, 10.1038/nmeth.1392, 10.1038/s41592-021-01309-x, 10.1002/elps.11501401205, 10.18632/oncotarget.26005, 10.1023/a:1022528829799, 10.1016/j.chom.2020.08.004, 10.1006/bbrc.1993.1516, 10.1038/s41598-021-84668-x, 10.1021/bi00378a023, 10.1021/pr500394z, 10.1021/ac4009995, 10.1111/j.1432-1033.1992.tb17090.x, 10.1074/mcp.M112.024018, 10.1021/ac4006556, 10.1074/mcp.M114.047381, 10.1021/bi00341a040, 10.1016/S1044-0305(00)00122-7, 10.1016/s0008-6215(96)91015-0, 10.1016/S0021-9258(17)44262-1, 10.1042/bj2680529, 10.1016/s0021-9258(18)52290-0, 10.1007/bf00702201, 10.1021/acs.jproteome.0c00702, 10.1371/journal.pgen.1003225, 10.1111/j.1432-1033.1990.tb19256.x, 10.1074/mcp.M114.039537, 10.1021/pr200397h, 10.1021/acs.jproteome.9b00753, 10.1021/pr400196s, 10.1021/bi00264a033, 10.1111/j.1432-1033.1993.tb18020.x, 10.1101/853036, 10.1074/jbc.272.14.9062, 10.1002/prca.201800061, 10.1021/acs.analchem.8b01137, 10.1126/science.abb9983, 10.1016/j.talanta.2020.121495, 10.1681/ASN.2006040388, 10.1021/pr500575r, 10.1093/glycob/10.5.511, 10.1016/s0021-9258(19)39283-x, 10.4049/jimmunol.173.11.6831]
H3N3F2	8	[2373;Q9QUP5, 2615;Q61207, 2536;O35136, 2547;A0A087WPX3, 2815;P29533, 1712;Q15293, 2372;Q640R3, 1062;O43852]	[10.1021/acs.jproteome.9b00753, 10.1111/j.1432-1033.1991.tb16302.x, 10.1074/mcp.RA120.002295, 10.1021/ac4006556, 10.1006/abbi.1994.1021, 10.1021/bi9918285, 10.1074/jbc.M606711200, 10.1093/glycob/cwaa052, 10.1021/acs.analchem.8b01137]
H4N7	5	[613;P07911, 671;P01857, 2494;P11438, 2728;P14231, 230;P01876]	[10.1038/s41467-019-09222-w, 10.1126/science.abb9983, 10.1021/acs.jproteome.9b00753, 10.1016/S1044-0305(00)00122-7, 10.18632/oncotarget.26005, 10.1021/bi00067a029, 10.1016/s0021-9258(18)32836-9, 10.1021/acs.analchem.8b01137]
H3N3F1	19	[1636;P12273, 2617;O09114, 2231;Q9CPW0, 2186;Q80V42, 356;P13473, 12;P08289, 1169;P07585, 1105;Q96G23, 613;P07911, 361;P35496, 209;P03459, 723;P10253, 502;P00747, 2384;Q8R366, 224;Q08169, 2758;Q9ER58, 2552;Q62443, 496;P00630, 1847;Q14956]	[10.1016/j.jchromb.2008.05.006, 10.1021/bi00464a020, 10.1006/abbi.1994.1055, 10.1093/glycob/10.8.837, 10.1093/glycob/cwaa052, 10.1042/bst020113s, 10.1093/glycob/10.9.941, 10.1074/mcp.RA120.002295, 10.1074/jbc.M100573200, 10.1021/acs.analchem.8b01051, 10.1023/a:1006915200989, 10.1006/abio.2001.5199, 10.1074/jbc.M009361200, 10.1016/0003-9861(91)90144-8, 10.1093/glycob/cwaa042, 10.1038/s41467-019-09222-w, 10.1093/glycob/9.5.443, 10.1093/glycob/cwaa101, 10.1021/pr500238v, 10.1006/abio.1994.1138, 10.1074/jbc.M606711200, 10.1074/jbc.271.13.7484, 10.1016/j.jprot.2014.02.005, 10.1074/mcp.RA119.001607, 10.1016/j.euprot.2014.11.002, 10.1074/jbc.M511023200, 10.1021/bi00054a005, 10.1016/j.jprot.2014.03.040, 10.18632/oncotarget.26005, 10.1016/j.chom.2020.08.004, 10.1002/pro.5560030105, 10.1093/glycob/4.5.633, 10.1074/mcp.M112.024018, 10.1007/s10719-006-6693-4, 10.1042/bj2680529, 10.1042/bj2780505, 10.1111/j.1432-1033.1991.tb16302.x, 10.7150/thno.65398, 10.1371/journal.pgen.1003225, 10.1021/acs.jproteome.0c00702, 10.1021/acs.analchem.1c00893, 10.1111/j.1432-1033.1990.tb19256.x, 10.1093/glycob/9.8.823, 10.1021/acs.jproteome.9b00753, 10.1016/s0304-4165(00)00128-8, 10.1074/jbc.272.14.9062, 10.1101/853036, 10.1002/prca.201800061, 10.1021/acs.analchem.8b01137, 10.1016/s0008-6215(99)00254-2, 10.1007/s00425-003-1099-z, 10.1016/j.talanta.2020.121495, 10.1126/science.abb9983, 10.1021/pr500575r, 10.1074/jbc.270.51.30294, 10.1093/glycob/10.5.511, 10.1006/abbi.1994.1021, 10.1021/bi9918285, 10.4049/jimmunol.173.11.6831]
